igre,disciplina,mesto,drzava,ime,rezultat
St Moritz 1928,500m-men,20,GER,Fritz Jungblut,47.200
St Moritz 1928,500m-men,21,AUT,Otto Polacsek,47.500
St Moritz 1928,500m-men,22,EST,Alexander Mitt,47.700
St Moritz 1928,500m-men,23,SWE,Gustaf Andersson Gabeling,47.900
St Moritz 1928,500m-men,24,GER,Erhard Mayke,49.100
St Moritz 1928,500m-men,24,AUT,Rudolf Riedl,49.100
St Moritz 1928,500m-men,26,FRA,Léon Quaglia,49.500
St Moritz 1928,500m-men,27,NED,Simon Heiden,49.900
St Moritz 1928,500m-men,28,LTU,Kestutis Bulota,50.100
St Moritz 1928,500m-men,28,FRA,Charles François Thaon,50.100
St Moritz 1928,500m-men,30,GBR,Fred Dix,53.400
St Moritz 1928,500m-men,31,GBR,Len Stewart,54.800
St Moritz 1928,500m-men,32,GBR,Cyril Walter Horn,54.900
St Moritz 1928,500m-men,33,NED,Willem Kos,56.200
St Moritz 1928,1500m-men,1,FIN,Clas Thunberg,00:02:21.100
St Moritz 1928,1500m-men,2,NOR,Bernt Evensen,00:02:21.900
St Moritz 1928,1500m-men,3,NOR,Ivar Ballangrud,00:02:22.600
St Moritz 1928,1500m-men,4,NOR,Roald Larsen,00:02:25.300
St Moritz 1928,1500m-men,5,USA,Edward Murphy,00:02:25.900
St Moritz 1928,1500m-men,6,USA,Valentine Bialas,00:02:26.300
St Moritz 1928,1500m-men,7,USA,Irving Jaffee,00:02:26.700
St Moritz 1928,1500m-men,8,USA,John O Farrell,00:02:26.800
St Moritz 1928,1500m-men,9,SWE,Gustaf Andersson Gabeling,00:02:27.500
St Moritz 1928,1500m-men,10,HUN,Zoltan Eötvös,00:02:27.900
St Moritz 1928,1500m-men,11,GER,Fritz Jungblut,00:02:28.200
St Moritz 1928,1500m-men,12,CAN,Charlie Gorman,00:02:28.400
St Moritz 1928,1500m-men,13,NOR,Wollert Nygren,00:02:28.700
St Moritz 1928,1500m-men,14,LAT,Alberts Rumba,00:02:28.900
St Moritz 1928,1500m-men,15,FIN,Toivo Ovaska,00:02:29.300
St Moritz 1928,1500m-men,16,AUT,Fritz Moser,00:02:31.400
St Moritz 1928,1500m-men,17,CAN,Ross Robinson,00:02:32.300
St Moritz 1928,1500m-men,18,NED,Simon Heiden,00:02:33.100
St Moritz 1928,1500m-men,19,EST,Christfried Burmeister,00:02:33.600
St Moritz 1928,1500m-men,20,EST,Alexander Mitt,00:02:35.000
St Moritz 1928,1500m-men,21,CAN,William F. Logan,00:02:35.600
St Moritz 1928,1500m-men,22,AUT,Rudolf Riedl,00:02:37.800
St Moritz 1928,1500m-men,23,GER,Arthur Vollstedt,00:02:39.900
St Moritz 1928,1500m-men,24,GBR,Cyril Walter Horn,00:02:40.000
St Moritz 1928,1500m-men,25,LTU,Kestutis Bulota,00:02:40.900
St Moritz 1928,1500m-men,26,FRA,Charles François Thaon,00:02:44.200
St Moritz 1928,1500m-men,27,GBR,Len Stewart,00:02:48.900
St Moritz 1928,1500m-men,28,GBR,Fred Dix,00:02:49.600
St Moritz 1928,1500m-men,29,NED,Willem Kos,00:02:49.900
St Moritz 1928,5000m-men,1,NOR,Ivar Ballangrud,00:08:50.500
St Moritz 1928,5000m-men,2,FIN,Julius Skutnabb,00:08:59.100
St Moritz 1928,5000m-men,3,NOR,Bernt Evensen,00:09:01.100
St Moritz 1928,5000m-men,4,USA,Irving Jaffee,00:09:01.300
St Moritz 1928,5000m-men,5,NOR,Armand Henning Carlsen,00:09:01.500
St Moritz 1928,5000m-men,6,USA,Valentine Bialas,00:09:06.300
St Moritz 1928,5000m-men,7,NOR,Michael Staksrud,00:09:07.300
St Moritz 1928,5000m-men,8,AUT,Otto Polacsek,00:09:08.900
St Moritz 1928,5000m-men,9,SWE,Gustaf Andersson Gabeling,00:09:09.700
St Moritz 1928,5000m-men,10,FIN,Ossian Blomqvist,00:09:09.900
St Moritz 1928,5000m-men,11,NED,Simon Heiden,00:09:10.000
St Moritz 1928,5000m-men,12,FIN,Clas Thunberg,00:09:11.800
St Moritz 1928,5000m-men,13,FIN,Bertel Backmann,00:09:14.000
St Moritz 1928,5000m-men,14,USA,Edward Murphy,00:09:19.500
St Moritz 1928,5000m-men,15,LAT,Alberts Rumba,00:09:19.700
St Moritz 1928,5000m-men,16,GER,Fritz Jungblut,00:09:26.700
St Moritz 1928,5000m-men,17,USA,John O Farrell,00:09:29.200
St Moritz 1928,5000m-men,18,FRA,Léon Quaglia,00:09:33.300
St Moritz 1928,5000m-men,19,NED,Willem Kos,00:09:34.200
St Moritz 1928,5000m-men,20,HUN,Zoltan Eötvös,00:09:34.400
St Moritz 1928,5000m-men,21,EST,Alexander Mitt,00:09:35.200
St Moritz 1928,5000m-men,22,CAN,Ross Robinson,00:09:38.900
St Moritz 1928,5000m-men,23,GBR,Cyril Walter Horn,00:09:45.000
St Moritz 1928,5000m-men,24,EST,Christfried Burmeister,00:09:46.200
St Moritz 1928,5000m-men,25,LTU,Kestutis Bulota,00:09:49.800
St Moritz 1928,5000m-men,26,AUT,Rudolf Riedl,00:09:53.500
St Moritz 1928,5000m-men,27,AUT,Fritz Moser,00:09:57.800
St Moritz 1928,5000m-men,28,GER,Arthur Vollstedt,00:09:58.500
St Moritz 1928,5000m-men,29,CAN,William F. Logan,00:10:10.300
St Moritz 1928,5000m-men,30,FRA,Charles François Thaon,00:10:18.800
St Moritz 1928,5000m-men,31,GBR,Len Stewart,00:10:40.000
St Moritz 1928,5000m-men,32,GBR,Fred Dix,00:10:55.600
Lake Placid 1932,500m-men,1,USA,Jack Shea,43.400
Lake Placid 1932,500m-men,2,NOR,Bernt Evensen,Did not start
Lake Placid 1932,500m-men,3,CAN,Alex Hurd,Did not start
Lake Placid 1932,500m-men,4,CAN,Frank Stack,Did not start
Lake Placid 1932,500m-men,5,CAN,William F. Logan,Did not start
Lake Placid 1932,500m-men,6,USA,John O Farrell,Did not start
Lake Placid 1932,1500m-men,1,USA,Jack Shea,00:02:57.500
Lake Placid 1932,1500m-men,2,CAN,Alex Hurd,Did not start
Lake Placid 1932,1500m-men,3,CAN,William F. Logan,Did not start
Lake Placid 1932,1500m-men,4,CAN,Frank Stack,Did not start
Lake Placid 1932,1500m-men,5,USA,Raymond V. Murray,Did not start
Lake Placid 1932,1500m-men,6,USA,Herbert G. Taylor,Did not start
Lake Placid 1932,5000m-men,1,USA,Irving Jaffee,00:09:40.800
Lake Placid 1932,5000m-men,2,USA,Edward Murphy,Did not start
Lake Placid 1932,5000m-men,3,CAN,William F. Logan,Did not start
Lake Placid 1932,5000m-men,4,USA,Herbert G. Taylor,Did not start
Lake Placid 1932,5000m-men,5,NOR,Ivar Ballangrud,Did not start
Lake Placid 1932,5000m-men,6,NOR,Bernt Evensen,Did not start
Lake Placid 1932,5000m-men,7,CAN,Frank Stack,Did not start
Lake Placid 1932,5000m-men,8,CAN,C. Harry Smyth,Did not start
Lake Placid 1932,10000m-men,1,USA,Irving Jaffee,00:19:13.600
Lake Placid 1932,10000m-men,2,NOR,Ivar Ballangrud,Did not start
Lake Placid 1932,10000m-men,3,CAN,Frank Stack,Did not start
Lake Placid 1932,10000m-men,4,USA,Edwin Wedge,Did not start
Lake Placid 1932,10000m-men,5,USA,Valentine Bialas,Did not start
Lake Placid 1932,10000m-men,6,NOR,Bernt Evensen,Did not start
Lake Placid 1932,10000m-men,7,CAN,Alex Hurd,Did not start
Lake Placid 1932,10000m-men,8,USA,Edward Julius Schroeder,Did not start
Garmisch Partenkirchen 1936,500m-men,1,NOR,Ivar Ballangrud,43.400
Garmisch Partenkirchen 1936,500m-men,2,NOR,Georg Krog,43.500
Garmisch Partenkirchen 1936,500m-men,3,USA,Leo Freisinger,44.000
Garmisch Partenkirchen 1936,500m-men,4,JPN,Shozo Ishihara,44.100
Garmisch Partenkirchen 1936,500m-men,5,USA,Delbert Thomas Lamb,44.200
Garmisch Partenkirchen 1936,500m-men,6,AUT,Karl Leban,44.800
Garmisch Partenkirchen 1936,500m-men,6,USA,Allan W. Potts,44.800
Garmisch Partenkirchen 1936,500m-men,8,FIN,Antero Ojala,44.900
Garmisch Partenkirchen 1936,500m-men,8,FIN,Jorma Ruissalo,44.900
Garmisch Partenkirchen 1936,500m-men,8,FIN,Birger Wasenius,44.900
Garmisch Partenkirchen 1936,500m-men,11,JPN,Reikichi Nakamura,45.000
Garmisch Partenkirchen 1936,500m-men,11,USA,Robert Grover Petersen,45.000
Garmisch Partenkirchen 1936,500m-men,13,AUT,Karl Wazulek,45.100
Garmisch Partenkirchen 1936,500m-men,14,LAT,Alfons Bērziņš,45.700
Garmisch Partenkirchen 1936,500m-men,14,NED,Adolf Fredrik Van Der Scheer,45.700
Garmisch Partenkirchen 1936,500m-men,16,LAT,Janis Andriksons,45.900
Garmisch Partenkirchen 1936,500m-men,16,JPN,Seitoku Ri,45.900
Garmisch Partenkirchen 1936,500m-men,18,SWE,Axel Johansson,46.100
Garmisch Partenkirchen 1936,500m-men,19,FIN,Ossian Blomqvist,46.200
Garmisch Partenkirchen 1936,500m-men,19,GER,Willi Sandner,46.200
Garmisch Partenkirchen 1936,500m-men,21,AUT,Ferdinand Preindl,46.400
Garmisch Partenkirchen 1936,500m-men,22,EST,Alexander Mitt,46.600
Garmisch Partenkirchen 1936,500m-men,22,JPN,Kunio Nando,46.600
Garmisch Partenkirchen 1936,500m-men,24,NED,Luitzen Dijkstra,46.700
Garmisch Partenkirchen 1936,500m-men,24,NED,Jan Langedijk,46.700
Garmisch Partenkirchen 1936,500m-men,24,AUT,Gustav Slanec,46.700
Garmisch Partenkirchen 1936,500m-men,27,NED,Berndt Stephan Blaisse,46.900
Garmisch Partenkirchen 1936,500m-men,28,GER,Heinz Sames,47.000
Garmisch Partenkirchen 1936,500m-men,29,AUS,George Kenneth Kennedy,47.400
Garmisch Partenkirchen 1936,500m-men,30,TCH,Jaromir Turnovsky,47.800
Garmisch Partenkirchen 1936,500m-men,31,CAN,Thomas White,49.600
Garmisch Partenkirchen 1936,500m-men,32,TCH,Oldrich Hanc,49.800
Garmisch Partenkirchen 1936,500m-men,33,BEL,James Graeffe,54.600
Garmisch Partenkirchen 1936,500m-men,34,NOR,Harry Haraldsen,54.900
Garmisch Partenkirchen 1936,500m-men,35,BEL,Charles De Ligne,00:01:44.600
Garmisch Partenkirchen 1936,1500m-men,1,NOR,Charles Mathisen,00:02:19.200
Garmisch Partenkirchen 1936,1500m-men,2,NOR,Ivar Ballangrud,00:02:20.200
Garmisch Partenkirchen 1936,1500m-men,3,FIN,Birger Wasenius,00:02:20.900
Garmisch Partenkirchen 1936,1500m-men,4,USA,Leo Freisinger,00:02:21.300
Garmisch Partenkirchen 1936,1500m-men,5,AUT,Max Stiepl,00:02:21.600
Garmisch Partenkirchen 1936,1500m-men,6,AUT,Karl Wazulek,00:02:22.200
Garmisch Partenkirchen 1936,1500m-men,7,NOR,Harry Haraldsen,00:02:22.400
Garmisch Partenkirchen 1936,1500m-men,8,NOR,Hans Engnestangen,00:02:23.000
Garmisch Partenkirchen 1936,1500m-men,9,FIN,Ossian Blomqvist,00:02:23.200
Garmisch Partenkirchen 1936,1500m-men,9,FIN,Antero Ojala,00:02:23.200
Garmisch Partenkirchen 1936,1500m-men,9,NED,Adolf Fredrik Van Der Scheer,00:02:23.200
Garmisch Partenkirchen 1936,1500m-men,12,AUT,Karl Leban,00:02:24.300
Garmisch Partenkirchen 1936,1500m-men,12,USA,Edward Julius Schroeder,00:02:24.300
Garmisch Partenkirchen 1936,1500m-men,14,NED,Jan Langedijk,00:02:24.600
Garmisch Partenkirchen 1936,1500m-men,15,JPN,Seien Kin,00:02:25.000
Garmisch Partenkirchen 1936,1500m-men,16,GER,Willi Sandner,00:02:25.300
Garmisch Partenkirchen 1936,1500m-men,17,USA,Robert Grover Petersen,00:02:25.400
Garmisch Partenkirchen 1936,1500m-men,18,LAT,Alfons Bērziņš,00:02:25.800
Garmisch Partenkirchen 1936,1500m-men,19,JPN,Shozo Ishihara,00:02:26.700
Garmisch Partenkirchen 1936,1500m-men,20,NED,Luitzen Dijkstra,00:02:27.200
Garmisch Partenkirchen 1936,1500m-men,20,FIN,Ake Ekman,00:02:27.200
Garmisch Partenkirchen 1936,1500m-men,22,EST,Alexander Mitt,00:02:27.800
Garmisch Partenkirchen 1936,1500m-men,23,LAT,Janis Andriksons,00:02:28.900
Garmisch Partenkirchen 1936,1500m-men,23,JPN,Seitoku Ri,00:02:28.900
Garmisch Partenkirchen 1936,1500m-men,25,HUN,Laszlo Hidveghy,00:02:29.000
Garmisch Partenkirchen 1936,1500m-men,25,AUT,Ferdinand Preindl,00:02:29.000
Garmisch Partenkirchen 1936,1500m-men,27,GER,Heinz Sames,00:02:29.300
Garmisch Partenkirchen 1936,1500m-men,28,JPN,Yasuo Kawamura,00:02:29.600
Garmisch Partenkirchen 1936,1500m-men,29,SWE,Axel Johansson,00:02:29.900
Garmisch Partenkirchen 1936,1500m-men,30,NED,Roelof Koops,00:02:30.000
Garmisch Partenkirchen 1936,1500m-men,31,TCH,Jaromir Turnovsky,00:02:30.500
Garmisch Partenkirchen 1936,1500m-men,32,USA,Allan W. Potts,00:02:31.200
Garmisch Partenkirchen 1936,1500m-men,33,AUS,George Kenneth Kennedy,00:02:31.800
Garmisch Partenkirchen 1936,1500m-men,34,CAN,Thomas White,00:02:34.200
Garmisch Partenkirchen 1936,1500m-men,35,TCH,Oldrich Hanc,00:02:57.800
Garmisch Partenkirchen 1936,1500m-men,36,BEL,James Graeffe,00:03:00.500
Garmisch Partenkirchen 1936,1500m-men,37,BEL,Charles De Ligne,00:03:21.900
Garmisch Partenkirchen 1936,5000m-men,1,NOR,Ivar Ballangrud,00:08:19.600
Garmisch Partenkirchen 1936,5000m-men,2,FIN,Birger Wasenius,00:08:23.300
Garmisch Partenkirchen 1936,5000m-men,3,FIN,Antero Ojala,00:08:30.100
Garmisch Partenkirchen 1936,5000m-men,4,NED,Jan Langedijk,00:08:32.000
Garmisch Partenkirchen 1936,5000m-men,5,AUT,Max Stiepl,00:08:35.000
Garmisch Partenkirchen 1936,5000m-men,6,FIN,Ossian Blomqvist,00:08:36.600
Garmisch Partenkirchen 1936,5000m-men,7,NOR,Charles Mathisen,00:08:36.900
Garmisch Partenkirchen 1936,5000m-men,8,AUT,Karl Wazulek,00:08:38.400
Garmisch Partenkirchen 1936,5000m-men,9,NOR,Michael Staksrud,00:08:38.500
Garmisch Partenkirchen 1936,5000m-men,10,NED,Adolf Fredrik Van Der Scheer,00:08:43.300
Garmisch Partenkirchen 1936,5000m-men,11,USA,Robert Grover Petersen,00:08:46.500
Garmisch Partenkirchen 1936,5000m-men,12,POL,Janusz Kalbarczyk,00:08:47.700
Garmisch Partenkirchen 1936,5000m-men,13,NED,Roelof Koops,00:08:48.500
Garmisch Partenkirchen 1936,5000m-men,13,GER,Heinz Sames,00:08:48.500
Garmisch Partenkirchen 1936,5000m-men,15,USA,Edward Julius Schroeder,00:08:49.100
Garmisch Partenkirchen 1936,5000m-men,16,NED,Luitzen Dijkstra,00:08:51.500
Garmisch Partenkirchen 1936,5000m-men,17,HUN,Laszlo Hidveghy,00:08:53.200
Garmisch Partenkirchen 1936,5000m-men,18,LAT,Alfons Bērziņš,00:08:53.400
Garmisch Partenkirchen 1936,5000m-men,19,AUT,Wilhelm Löwinger,00:08:53.900
Garmisch Partenkirchen 1936,5000m-men,20,NOR,Edward Wangberg,00:08:54.700
Garmisch Partenkirchen 1936,5000m-men,21,JPN,Seien Kin,00:08:55.900
Garmisch Partenkirchen 1936,5000m-men,22,FIN,Ake Ekman,00:09:00.400
Garmisch Partenkirchen 1936,5000m-men,22,EST,Alexander Mitt,00:09:00.400
Garmisch Partenkirchen 1936,5000m-men,24,AUT,Karl Prochaska,00:09:02.600
Garmisch Partenkirchen 1936,5000m-men,25,CAN,Thomas White,00:09:04.500
Garmisch Partenkirchen 1936,5000m-men,26,SWE,Axel Johansson,00:09:06.400
Garmisch Partenkirchen 1936,5000m-men,27,JPN,Yushoku Cho,00:09:08.700
Garmisch Partenkirchen 1936,5000m-men,27,JPN,Seitoku Ri,00:09:08.700
Garmisch Partenkirchen 1936,5000m-men,29,LAT,Arvids Lejnieks,00:09:11.900
Garmisch Partenkirchen 1936,5000m-men,30,LAT,Janis Andriksons,00:09:15.000
Garmisch Partenkirchen 1936,5000m-men,31,JPN,Kunio Nando,00:09:20.100
Garmisch Partenkirchen 1936,5000m-men,32,TCH,Jaromir Turnovsky,00:09:25.800
Garmisch Partenkirchen 1936,5000m-men,33,AUS,George Kenneth Kennedy,00:09:48.900
Garmisch Partenkirchen 1936,5000m-men,34,TCH,Oldrich Hanc,00:10:03.000
Garmisch Partenkirchen 1936,5000m-men,35,BEL,James Graeffe,00:10:52.600
Garmisch Partenkirchen 1936,10000m-men,1,NOR,Ivar Ballangrud,00:17:24.300
Garmisch Partenkirchen 1936,10000m-men,2,FIN,Birger Wasenius,00:17:28.200
Garmisch Partenkirchen 1936,10000m-men,3,AUT,Max Stiepl,00:17:30.000
Garmisch Partenkirchen 1936,10000m-men,4,NOR,Charles Mathisen,00:17:41.200
Garmisch Partenkirchen 1936,10000m-men,5,FIN,Ossian Blomqvist,00:17:42.400
Garmisch Partenkirchen 1936,10000m-men,6,NED,Jan Langedijk,00:17:43.700
Garmisch Partenkirchen 1936,10000m-men,7,FIN,Antero Ojala,00:17:46.600
Garmisch Partenkirchen 1936,10000m-men,8,USA,Edward Julius Schroeder,00:17:52.000
Garmisch Partenkirchen 1936,10000m-men,9,POL,Janusz Kalbarczyk,00:17:54.000
Garmisch Partenkirchen 1936,10000m-men,10,NOR,Michael Staksrud,00:17:56.700
Garmisch Partenkirchen 1936,10000m-men,11,AUT,Karl Wazulek,00:17:57.100
Garmisch Partenkirchen 1936,10000m-men,12,GER,Willi Sandner,00:18:02.000
Garmisch Partenkirchen 1936,10000m-men,13,JPN,Seien Kin,00:18:02.700
Garmisch Partenkirchen 1936,10000m-men,14,HUN,Laszlo Hidveghy,00:18:04.000
Garmisch Partenkirchen 1936,10000m-men,15,GER,Heinz Sames,00:18:04.300
Garmisch Partenkirchen 1936,10000m-men,16,NED,Adolf Fredrik Van Der Scheer,00:18:04.900
Garmisch Partenkirchen 1936,10000m-men,17,NED,Roelof Koops,00:18:11.500
Garmisch Partenkirchen 1936,10000m-men,18,NOR,Edward Wangberg,00:18:15.800
Garmisch Partenkirchen 1936,10000m-men,19,LAT,Alfons Bērziņš,00:18:22.500
Garmisch Partenkirchen 1936,10000m-men,20,NED,Luitzen Dijkstra,00:18:23.600
Garmisch Partenkirchen 1936,10000m-men,21,CAN,Thomas White,00:18:25.300
Garmisch Partenkirchen 1936,10000m-men,22,SWE,Axel Johansson,00:18:38.200
Garmisch Partenkirchen 1936,10000m-men,23,LAT,Arvids Lejnieks,00:18:41.200
Garmisch Partenkirchen 1936,10000m-men,24,AUT,Wilhelm Löwinger,00:18:46.500
Garmisch Partenkirchen 1936,10000m-men,25,JPN,Seitoku Ri,00:18:50.300
Garmisch Partenkirchen 1936,10000m-men,26,JPN,Yushoku Cho,00:19:00.100
Garmisch Partenkirchen 1936,10000m-men,27,AUT,Franz Ortner,00:19:19.100
Garmisch Partenkirchen 1936,10000m-men,28,BEL,Charles De Ligne,00:23:32.900
St Moritz 1948,500m-men,1,NOR,Finn Helgesen,43.100
St Moritz 1948,500m-men,2,USA,Ken Bartholomew,43.200
St Moritz 1948,500m-men,2,NOR,Thomas Byberg,43.200
St Moritz 1948,500m-men,2,USA,Robert Fitzgerald,43.200
St Moritz 1948,500m-men,5,USA,Kenneth Henry,43.300
St Moritz 1948,500m-men,6,NOR,Sverre Farstad,43.600
St Moritz 1948,500m-men,6,NOR,Torodd Hauer,43.600
St Moritz 1948,500m-men,6,USA,Delbert Thomas Lamb,43.600
St Moritz 1948,500m-men,6,CAN,Frank Stack,43.600
St Moritz 1948,500m-men,10,SWE,Mats Bolmstedt,43.700
St Moritz 1948,500m-men,11,SWE,Harald Janemar,44.000
St Moritz 1948,500m-men,11,SWE,Ake Seyffarth,44.000
St Moritz 1948,500m-men,13,FIN,Keijo Lehdikkö,44.700
St Moritz 1948,500m-men,14,HUN,Janos Kilian,44.800
